Description,Price(Rs),Rating,Review Count,Url of the Product
"Lenovo IdeaPad Slim 5 AMD Ryzen 7 5700U 15.6""(39.62cm) FHD IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/Fingerprint/HD Camera/3 Month Game Pass/Graphite Grey/1.66Kg), 82LN00JSIN","59,990",4.5 out of 5 stars,10,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTE1MjgxNjY2MDUzMzQ1OjE2NjUyMzI5MjQ6c3BfYXRmOjIwMDc5ODA3NTMzMTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FLenovo-IdeaPad-Fingerprint-Graphite-82LN00JSIN%2Fdp%2FB0BBFTPJ3D%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3JKZD4EXHPZC%26keywords%3DLaptop%26qid%3D1665232924%26qu%3DeyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%253D%253D%26sprefix%3D%252Caps%252C432%26sr%3D8-1-spons%26psc%3D1
"HP 15s, 11th Gen Intel Core i3, 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/ MS Office 2021/1.69 Kg, 15s-fr2511TU","39,999",3.9 out of 5 stars,22,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTE1MjgxNjY2MDUzMzQ1OjE2NjUyMzI5MjQ6c3BfYXRmOjIwMDgwMzczMzgyOTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FHP-15-6-inch-Micro-Edge-Anti-Glare-15s-fr2511TU%2Fdp%2FB0B4N1FRW8%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3JKZD4EXHPZC%26keywords%3DLaptop%26qid%3D1665232924%26qu%3DeyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%253D%253D%26sprefix%3D%252Caps%252C432%26sr%3D8-2-spons%26psc%3D1
"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","25,990",4.0 out of 5 stars,633,https://www.amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_3?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232924&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-3
"Dell Vostro 3420 Laptop, Intel i3-1115G4, 8GB DDR4 & 256GB SSD, Win 11 + MSO'21, 14.0"", 35.56Cms FHD WVA AG 250 nits, Carbon Black (D552299WIN9BE, 1.48Kgs) Windows 11","36,990",2.6 out of 5 stars,3,https://www.amazon.in/Dell-i3-1115G4-35-56Cms-D552299WIN9BE-1-48Kgs/dp/B0B469F1PN/ref=sr_1_4?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232924&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-4
"ASUS Vivobook 14, 14.0-inch (35.56 cms) FHD, Intel Core i3-1005G1 10th Gen, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Grey/1.60 kg), X415JA-EK324WS","29,990",2.5 out of 5 stars,3,https://www.amazon.in/ASUS-14-0-inch-i3-1005G1-Integrated-X415JA-EK324WS/dp/B0B8ZS9YLC/ref=sr_1_5?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232924&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-5
"Lenovo IdeaPad D330 Intel Celeron N4020 10.1"" (25cm)HD IPS Detachable 2-in-1 Laptop (4GB/128GB eMMC/Windows 10/1 Yr Warranty/Mineral Grey/1.1Kg), 82H0001YIN","17,990",3.8 out of 5 stars,222,https://www.amazon.in/Lenovo-IdeaPad-Detachable-Warranty-82H0001YIN/dp/B09SV2B5SR/ref=sr_1_6?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232924&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-6
"Lenovo IdeaPad Slim 1 Intel Celeron N4020 4th Gen 11.6'' (29.46cm) HD Thin & Light Laptop (4GB/256GB SSD/Windows 11/Office 2021/3months Game Pass/Platinum Grey/1.2Kg), 81VT009UIN","20,990",3.8 out of 5 stars,722,https://www.amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT009UIN/dp/B09V7ZJYBN/ref=sr_1_7?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232924&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-7
"Lenovo IdeaPad Slim 3 Intel Celeron N4020 4th Gen 15.6"" (39.62cm) HD Thin & Light Laptop (8GB/256GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Game Pass/Platinum Grey/1.7Kg), 81WQ00MQIN","27,490",3.8 out of 5 stars,135,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WQ00MQIN/dp/B09YJ1Q16L/ref=sr_1_8?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232924&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-8
"Lenovo IdeaPad Slim 1 AMD Ryzen 3 3250U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Cloud Grey/1.6Kg), 82R10049IN","30,820",4.0 out of 5 stars,79,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82R10049IN/dp/B0B4JRH895/ref=sr_1_9?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232924&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-9
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6"" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg), 81X800LGIN","36,990",4.1 out of 5 stars,555,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81X800LGIN/dp/B0B2RBP83P/ref=sr_1_10?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232924&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-10
